segment_type,segment,n,pct_customers,conv,lift,class,baseline_conv
balance_bucket x age_bucket,high & 65+,426,0.9422485678264139,0.4460093896713615,3.812046065567192,Target,0.117
age_bucket x job,65+ & retired,635,1.4045254473468847,0.4440944881889764,3.7956793862305673,Target,0.117
age_bucket x loan,65+ & no,747,1.6522527703435004,0.42570281124497994,3.6384855661964095,Target,0.117
age_bucket x housing,65+ & no,730,1.614651301674371,0.4178082191780822,3.5710104203254884,Target,0.117
age_bucket x marital,65+ & married,575,1.2718143814558405,0.41739130434782606,3.567447045707915,Target,0.117
age_bucket x housing,18-25 & no,627,1.386830638561412,0.3875598086124402,3.312476996687523,Target,0.117
job x housing,student & no,689,1.5239654066488244,0.3584905660377358,3.06402193194646,Target,0.117
age_bucket x job,18-25 & student,398,0.8803167370772599,0.3542713567839196,3.027960314392475,Target,0.117
balance_bucket x job,high & student,309,0.6834619893388777,0.313915857605178,2.683041517992974,Target,0.117
education x job,secondary & student,508,1.1236203578775077,0.297244094488189,2.540547816138367,Target,0.117
balance_bucket x marital,negative & married,2202,4.870496118201323,0.03996366939146231,0.3415698238586522,Avoid,0.117
balance_bucket x job,negative & management,565,1.2496958704739995,0.04070796460176991,0.3479313213826488,Avoid,0.117
balance_bucket x age_bucket,negative & 35-45,1271,2.8112627457919532,0.045633359559402044,0.39002871418292345,Avoid,0.117
job x loan,entrepreneur & yes,356,0.787418990953529,0.047752808988764044,0.40814366657063283,Avoid,0.117
education x loan,primary & yes,1024,2.264935524540488,0.048828125,0.41733440170940167,Avoid,0.117
balance_bucket x job,negative & technician,656,1.45097432040875,0.05030487804878049,0.42995622263914945,Avoid,0.117
balance_bucket x age_bucket,negative & 45-55,779,1.7230320054853907,0.051347881899871634,0.4388707854689883,Avoid,0.117
balance_bucket x housing,negative & no,1028,2.2737829289332243,0.05252918287937743,0.4489673750374139,Avoid,0.117
balance_bucket x loan,negative & no,2556,5.653491406958484,0.0528169014084507,0.4514265077645359,Avoid,0.117
balance_bucket x job,negative & blue-collar,1110,2.455154718984318,0.05315315315315315,0.45430045430045424,Avoid,0.117
